algorithm_id,algorithm_label,seed,checkpoint_index,iteration,episode,nodes_touched,wall_clock_seconds,exploitability,average_policy_value,policy_value_error,is_final_policy_evaluation
escher_exp28,ESCHER (Experiment 28),0,0,1.0,,12104.0,62.86838221549988,3.180616504889525,1.0738332624388232,1.159439686516823,False
escher_exp28,ESCHER (Experiment 28),0,1,11.0,,132418.0,397.9066331386566,1.04532657502501,-0.07483748163411497,0.01076894244388503,False
escher_exp28,ESCHER (Experiment 28),0,2,21.0,,245842.0,712.893524646759,0.7810462599808133,-0.10742666704347925,0.021820242965479256,False
escher_exp28,ESCHER (Experiment 28),0,3,31.0,,363522.0,1042.7675566673279,0.7317423672268574,-0.08781995482858579,0.002213530750585793,False
escher_exp28,ESCHER (Experiment 28),0,4,41.0,,480638.0,1367.1214780807495,0.7123743707196062,-0.104530328617669,0.01892390453966901,False
escher_exp28,ESCHER (Experiment 28),0,5,51.0,,596953.0,1695.0339601039886,0.6833353382346928,-0.07704771787531647,0.008558706202683522,False
escher_exp28,ESCHER (Experiment 28),0,6,61.0,,713010.0,2020.6351506710052,0.6692102604168708,-0.09151653233633159,0.0059101082583315895,False
escher_exp28,ESCHER (Experiment 28),0,7,71.0,,827701.0,2337.91045999527,0.6531160340561257,-0.11234708990571263,0.02674066582771263,False
escher_exp28,ESCHER (Experiment 28),0,8,81.0,,942635.0,2663.775442838669,0.6534604585576234,-0.13456154187074798,0.048955117792747985,False
escher_exp28,ESCHER (Experiment 28),0,9,80,,942635.0,2663.775442838669,0.6606614980890859,-0.14012882983362926,0.054522405755629264,True
escher_exp28,ESCHER (Experiment 28),1,0,1.0,,10681.0,59.21774363517761,4.6054347021757795,0.639155941273098,0.7247623653510981,False
escher_exp28,ESCHER (Experiment 28),1,1,11.0,,132913.0,404.99562096595764,1.3256895672403752,-0.12093907830833187,0.03533265423033187,False
escher_exp28,ESCHER (Experiment 28),1,2,21.0,,249952.0,733.8621180057526,1.0321343082145529,-0.17892715276085966,0.09332072868285966,False
escher_exp28,ESCHER (Experiment 28),1,3,31.0,,365920.0,1058.4791259765625,0.9152779802069292,-0.16660198421257394,0.08099556013457394,False
escher_exp28,ESCHER (Experiment 28),1,4,41.0,,479838.0,1378.2980508804321,0.883756989405203,-0.14716088729116011,0.06155446321316012,False
escher_exp28,ESCHER (Experiment 28),1,5,51.0,,592497.0,1695.433574438095,0.9418909563898011,-0.14200049818451232,0.05639407410651233,False
escher_exp28,ESCHER (Experiment 28),1,6,61.0,,708648.0,2019.1278388500214,1.0395262384595076,-0.18495614507192987,0.09934972099392987,False
escher_exp28,ESCHER (Experiment 28),1,7,71.0,,823276.0,2341.9165890216827,0.966036063066281,-0.18425870961281202,0.09865228553481202,False
escher_exp28,ESCHER (Experiment 28),1,8,81.0,,939834.0,2671.471819639206,0.9591906733451772,-0.1515633701897472,0.0659569461117472,False
escher_exp28,ESCHER (Experiment 28),1,9,80,,939834.0,2671.471819639206,0.9980432983065449,-0.13779928906761724,0.05219286498961724,True
escher_exp28,ESCHER (Experiment 28),2,0,1.0,,11710.0,61.97517156600952,2.6350391530571198,1.548142719826894,1.633749143904894,False
escher_exp28,ESCHER (Experiment 28),2,1,11.0,,131683.0,401.3406901359558,1.3702360665602629,-0.2292744895500512,0.1436680654720512,False
escher_exp28,ESCHER (Experiment 28),2,2,21.0,,251878.0,745.3918991088867,1.231971090722395,-0.14141436770135699,0.05580794362335699,False
escher_exp28,ESCHER (Experiment 28),2,3,31.0,,370857.0,1074.8430798053741,0.8692837895028067,-0.1798029582427887,0.0941965341647887,False
escher_exp28,ESCHER (Experiment 28),2,4,41.0,,491032.0,1411.024212360382,0.7967311597386142,-0.08994544002254792,0.004339015944547928,False
escher_exp28,ESCHER (Experiment 28),2,5,51.0,,610827.0,1739.7627637386322,0.6943485489374992,-0.1359245086915448,0.0503180846135448,False
escher_exp28,ESCHER (Experiment 28),2,6,61.0,,729150.0,2068.04416847229,0.6932846334206806,-0.12910018594416933,0.043493761866169336,False
escher_exp28,ESCHER (Experiment 28),2,7,71.0,,845002.0,2389.478533744812,0.6894568111558215,-0.1387268886511695,0.053120464573169504,False
escher_exp28,ESCHER (Experiment 28),2,8,81.0,,962274.0,2714.2925193309784,0.7106086420708799,-0.16059222654217264,0.07498580246417265,False
escher_exp28,ESCHER (Experiment 28),2,9,80,,962274.0,2714.2925193309784,0.7334538132030335,-0.1538723205641239,0.0682658964861239,True
vr_deep_dcfr_plus,VR-DeepDCFR+,0,0,1,20000,135972.0,211.6773969900005,2.3187561365593945,1.0000487159186513,1.0856551399966512,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,1,2,40000,257753.0,413.42580110000017,1.7771933730278564,0.9989477390167901,1.0845541630947901,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,2,3,60000,418929.0,638.6594239660008,1.1882500616362723,0.11647899404918854,0.20208541812718855,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,3,4,80000,580921.0,864.5741161260012,0.943169672848562,0.029716536187891468,0.11532296026589146,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,4,5,100000,744692.0,1091.235436293,0.7515894426995686,0.07202439782019049,0.1576308218981905,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,5,6,120000,909635.0,1317.6830497690007,0.6990209355624849,0.08702348475962654,0.17262990883762652,False
vr_deep_dcfr_plus,VR-DeepDCFR+,0,6,7,140000,1069472.0,1539.3541163530008,0.6465290331544252,0.06064726447432853,0.1462536885523285,False
vr_deep_dcfr_plus,VR-DeepDCFR+,1,0,1,20000,130387.0,217.64935063700068,3.9997256214361943,1.0001359887218935,1.0857424127998934,False
vr_deep_dcfr_plus,VR-DeepDCFR+,1,1,2,40000,291003.0,458.26768961699963,3.846310379940072,0.8694555873113003,0.9550620113893004,False
vr_deep_dcfr_plus,VR-DeepDCFR+,1,2,3,60000,466281.0,698.8546518990006,2.5662942467481296,0.4473185949264941,0.5329250190044941,False
vr_deep_dcfr_plus,VR-DeepDCFR+,1,3,4,80000,633161.0,931.4163457539998,1.8855411758527443,0.18370026137133894,0.26930668544933895,False
vr_deep_dcfr_plus,VR-DeepDCFR+,1,4,5,100000,795438.0,1161.0315244499998,1.2214370726887953,0.09144566768509155,0.17705209176309156,False
vr_deep_dcfr_plus,VR-DeepDCFR+,1,5,6,120000,958043.0,1388.9112504170007,0.7752100678558136,-0.03906036297520493,0.046546061102795064,False
vr_deep_dcfr_plus,VR-DeepDCFR+,2,0,1,20000,134906.0,212.4176705630016,1.8668801224226055,0.9999919911384461,1.085598415216446,False
vr_deep_dcfr_plus,VR-DeepDCFR+,2,1,2,40000,256752.0,416.28199846400094,2.0313930939542026,1.0191820009428005,1.1047884250208004,False
vr_deep_dcfr_plus,VR-DeepDCFR+,2,2,3,60000,413849.0,638.2091034660007,1.5507129816961174,-0.06469097303411298,0.02091545104388702,False
vr_deep_dcfr_plus,VR-DeepDCFR+,2,3,4,80000,576564.0,866.8310724310013,1.0836131749774838,-0.031109330590795348,0.05449709348720465,False
vr_deep_dcfr_plus,VR-DeepDCFR+,2,4,5,100000,739271.0,1092.2908012560001,0.8230844207650982,0.053825053010825574,0.13943147708882558,False
vr_deep_dcfr_plus,VR-DeepDCFR+,2,5,6,120000,901112.0,1317.1003480300005,0.6590587212357991,-0.022399378765950745,0.06320704531204925,False
vr_deep_dcfr_plus,VR-DeepDCFR+,2,6,7,140000,1061785.0,1541.0073217930003,0.5438872169045259,-0.045108157991755216,0.04049826608624478,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,0,0,1,20000,132409.0,255.75273326000024,3.523642657339611,1.0000005641843772,1.0856069882623771,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,0,1,2,40000,274787.0,518.2294318679997,4.47258104084091,-0.3180621892909446,0.2324557652129446,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,0,2,3,60000,439484.0,781.5494227920008,2.500096387511493,-0.059884180245318774,0.02572224383268122,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,0,3,4,80000,601630.0,1046.4231578090003,1.82756841471516,0.33845581449722106,0.4240622385752211,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,0,4,5,100000,763317.0,1309.9050646079995,1.141261936331513,0.077817704413291,0.163424128491291,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,0,5,6,120000,922790.0,1568.6506317229996,0.732159974578781,0.010534745864429484,0.09614116994242948,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,0,6,7,140000,1075338.0,1824.5546501110002,0.5963010195873226,-0.020027099446551677,0.06557932463144832,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,1,0,1,20000,132292.0,246.43675244100086,3.8811775689510757,0.9999425166546154,1.0855489407326153,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,1,1,2,40000,268741.0,493.0973500580003,2.5427346166617664,-0.6884117555008419,0.6028053314228419,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,1,2,3,60000,426753.0,754.3121415160003,2.175775566905462,-0.18681824477548653,0.10121182069748653,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,1,3,4,80000,588741.0,1026.309254443,1.8768828112498395,0.09523243783879887,0.18083886191679888,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,1,4,5,100000,744769.0,1290.0361106170003,1.0969975587664713,-0.1187666776586673,0.03316025358066731,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,1,5,6,120000,901740.0,1554.7643161649994,0.9043211199785506,-0.059112800102069596,0.0264936239759304,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,1,6,7,140000,1061781.0,1830.0257242470016,0.6478064714766583,-0.11731017797473683,0.03170375389673684,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,2,0,1,20000,129509.0,274.4475090820015,4.000208272108763,0.9998359881884316,1.0854424122664315,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,2,1,2,40000,289567.0,573.965521555001,6.303881228423487,1.1291685533808429,1.2147749774588428,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,2,2,3,60000,447578.0,871.3823557569995,3.455427739446572,1.6672557089814595,1.7528621330594594,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,2,3,4,80000,612589.0,1169.160728398001,2.4337952972302412,0.9329475819759825,1.0185540060539824,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,2,4,5,100000,771187.0,1442.9071878899995,1.4089378213407304,0.5590864217378264,0.6446928458158264,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,2,5,6,120000,931874.0,1705.7066686030012,0.8897647689083842,0.22542895526556386,0.31103537934356384,False
vr_deep_pdcfr_plus,VR-DeepPDCFR+,2,6,7,140000,1089060.0,1965.2976894410021,0.7375645602855879,0.10351406496925492,0.18912048904725492,False
